Article,Cites,Year
"Dopant spin states and magnetism of Sn1− xFexO2 nanoparticlesA Punnoose, K Dodge, JJ Beltrán, KM Reddy, N Franco, J Chess, ...
Journal of Applied Physics 115 (17), 17B534",2,2014
"SEMANA DE LA NANOCIENCIA Y LA NANOTECNOLOGÍA EN COLOMBIA: 15 al 17 de julio de 2013, Medellín (Colombia)CA DUQUE ECHEVERRI, JD TUTOR SÁNCHEZ
Revista EIA, 13-13",,2014
"Thickness and bilayer number dependence on exchange bias in ferromagnetic/antiferromagnetic multilayers based on La 1− x Ca x MnO 3E Restrepo-Parra, JD Agudelo-Giraldo, J Restrepo
Physica B: Condensed Matter 440, 61-66",1,2014
"Gd3+ spin–lattice relaxation via multi-band conduction electrons in Y1− xGdxIn3: an electron spin resonance studyM Cabrera-Baez, W Iwamoto, ET Magnavita, JM Osorio-Guillén, ...
Journal of Physics: Condensed Matter 26 (17), 175501",3,2014
"Low-redshift formula for the luminosity distance in a LTB model with cosmological constantAE Romano, P Chen
The European Physical Journal C 74 (4), 1-8",6,2014
"Innermost stable circular orbits and epicyclic frequencies around a magnetized neutron starAF Gutiérrez-Ruiz, LA Pachón, CA Valenzuela-Toledo
Universitas Scientiarum 19 (1), 63-73",4,2014
"Essential properties of a molecular complex confined in ring-like nanostructures under external probes: Magnetic field and hydrostatic pressureM R-Fulla, JH Marín, W Gutiérrez, ME Mora-Ramos, CA Duque
Superlattices and Microstructures 67, 207-220",4,2014
"Asymmetric GaAs n-type double δ-doped quantum wells as a source of intersubband-related nonlinear optical response: Effects of an applied electric fieldKA Rodríguez-Magdaleno, JC Martínez-Orozco, I Rodríguez-Vargas, ...
Journal of Luminescence 147, 77-84",5,2014
"Experimental opto-digital processing of multiple data via modulation, packaging and encryptionS Trejos, JF Barrera, M Tebaldi, R Torroba
Journal of Optics 16 (5), 055402",2,2014
"Metric-signature topological transitions in dispersive metamaterialsE Reyes-Gómez, SB Cavalcanti, LE Oliveira, CAA de Carvalho
Physical Review E 89 (3), 033202",3,2014
"Magnetic constraints on the habitability of exomoonsJI Zuluaga, R Heller
Search for Life Beyond the Solar System. Exoplanets, Biosignatures ...",,2014
"Ornstein-Zernike correlations and magnetic ordering in nanostructuresEA Velásquez, J Mazo-Zuluaga, D Altbir, J Mejía-López
The European Physical Journal B 87 (3), 1-9",,2014
"Linear and nonlinear optical properties in a double inverse parabolic quantum well under applied electric and magnetic fieldsF Ungan, ME Mora-Ramos, CA Duque, E Kasapoglu, H Sari, I Sökmen
Superlattices and Microstructures 66, 129-135",9,2014
"Intense laser field effects on the linear and nonlinear optical properties in a semiconductor quantum wire with triangle cross sectionMG Barseghyan, CA Duque, EC Niculescu, A Radu
Superlattices and Microstructures 66, 10-22",10,2014
"Inclusive search for a vector-like T quark with charge in pp collisions atCMS collaboration
Physics Letters B 729, 149-171",136,2014
"Monte Carlo simulation of roughness effect on magnetic and magnetotransport behavior of La 2/3 Ca 1/3 MnO 3/La 1/3 Ca 2/3 MnO 3 bilayersJD Agudelo-Giraldo, E Restrepo-Parra, J Restrepo
Physica B: Condensed Matter 434, 149-154",2,2014
"Double-Donor Energy Structure in Concentric Quantum Rings under Magnetic Field and Hydrostatic PressureMR Fulla, JH Marín, D Londoño, CA Duque, ME Mora-Ramos
Acta Physica Polonica A 125 (2), 220-223",1,2014
